# object, x, y, z, voltage
1.000000000000000000e+00,-5.500000000000000000e+00,-2.000000000000000000e+00,4.000000000000000000e+00,5.621412768959999778e-02
2.000000000000000000e+00,-5.500000000000000000e+00,-2.000000000000000000e+00,4.000000000000000000e+00,6.958333402872099449e-02
3.000000000000000000e+00,-5.500000000000000000e+00,-2.000000000000000000e+00,4.000000000000000000e+00,9.394282847642899947e-02
0.000000000000000000e+00,-5.500000000000000000e+00,-2.000000000000000000e+00,5.000000000000000000e+00,6.408941000699999724e-02
1.000000000000000000e+00,-5.500000000000000000e+00,-2.000000000000000000e+00,5.000000000000000000e+00,5.093387514352799850e-02
2.000000000000000000e+00,-5.500000000000000000e+00,-2.000000000000000000e+00,5.000000000000000000e+00,6.179286167025600102e-02
3.000000000000000000e+00,-5.500000000000000000e+00,-2.000000000000000000e+00,5.000000000000000000e+00,8.303906768560399831e-02
0.000000000000000000e+00,-5.500000000000000000e+00,-2.000000000000000000e+00,6.000000000000000000e+00,5.656789243221300306e-02
1.000000000000000000e+00,-5.500000000000000000e+00,-2.000000000000000000e+00,6.000000000000000000e+00,4.574028030037900067e-02
2.000000000000000000e+00,-5.500000000000000000e+00,-2.000000000000000000e+00,6.000000000000000000e+00,5.456724017858499698e-02
3.000000000000000000e+00,-5.500000000000000000e+00,-2.000000000000000000e+00,6.000000000000000000e+00,7.270383089780800556e-02
0.000000000000000000e+00,-5.500000000000000000e+00,-1.000000000000000000e+00,-6.000000000000000000e+00,8.793993294238999781e-02
1.000000000000000000e+00,-5.500000000000000000e+00,-1.000000000000000000e+00,-6.000000000000000000e+00,6.730324774980500635e-02
2.000000000000000000e+00,-5.500000000000000000e+00,-1.000000000000000000e+00,-6.000000000000000000e+00,1.120374202728299934e-01
3.000000000000000000e+00,-5.500000000000000000e+00,-1.000000000000000000e+00,-6.000000000000000000e+00,7.874958217143999961e-02
0.000000000000000000e+00,-5.500000000000000000e+00,-1.000000000000000000e+00,-5.000000000000000000e+00,9.277557581663099795e-02
1.000000000000000000e+00,-5.500000000000000000e+00,-1.000000000000000000e+00,-5.000000000000000000e+00,6.980223208665800594e-02
2.000000000000000000e+00,-5.500000000000000000e+00,-1.000000000000000000e+00,-5.000000000000000000e+00,1.201396882534000038e-01
3.000000000000000000e+00,-5.500000000000000000e+00,-1.000000000000000000e+00,-5.000000000000000000e+00,8.657299727201500650e-02
0.000000000000000000e+00,-5.500000000000000000e+00,-1.000000000000000000e+00,-4.000000000000000000e+00,9.880160540342300401e-02
